"Pin
References : ['Eff']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","Eff
References : []
Dependency : [Pin]
Num. Points : [6001]
Matrix Size : scalar
Type : Real"
-20,2.87E-06
-19.99,2.88E-06
-19.98,2.89E-06
-19.97,2.90E-06
-19.96,2.91E-06
-19.95,2.91E-06
-19.94,2.92E-06
-19.93,2.93E-06
-19.92,2.94E-06
-19.91,2.95E-06
-19.9,2.96E-06
-19.89,2.97E-06
-19.88,2.98E-06
-19.87,2.99E-06
-19.86,3.00E-06
-19.85,3.01E-06
-19.84,3.02E-06
-19.83,3.03E-06
-19.82,3.04E-06
-19.81,3.05E-06
-19.8,3.06E-06
-19.79,3.07E-06
-19.78,3.09E-06
-19.77,3.10E-06
-19.76,3.11E-06
-19.75,3.12E-06
-19.74,3.13E-06
-19.73,3.14E-06
-19.72,3.15E-06
-19.71,3.16E-06
-19.7,3.17E-06
-19.69,3.18E-06
-19.68,3.19E-06
-19.67,3.20E-06
-19.66,3.21E-06
-19.65,3.22E-06
-19.64,3.23E-06
-19.63,3.25E-06
-19.62,3.26E-06
-19.61,3.27E-06
-19.6,3.28E-06
-19.59,3.29E-06
-19.58,3.30E-06
-19.57,3.31E-06
-19.56,3.32E-06
-19.55,3.34E-06
-19.54,3.35E-06
-19.53,3.36E-06
-19.52,3.37E-06
-19.51,3.38E-06
-19.5,3.39E-06
-19.49,3.40E-06
-19.48,3.42E-06
-19.47,3.43E-06
-19.46,3.44E-06
-19.45,3.45E-06
-19.44,3.46E-06
-19.43,3.48E-06
-19.42,3.49E-06
-19.41,3.50E-06
-19.4,3.51E-06
-19.39,3.52E-06
-19.38,3.54E-06
-19.37,3.55E-06
-19.36,3.56E-06
-19.35,3.57E-06
-19.34,3.59E-06
-19.33,3.60E-06
-19.32,3.61E-06
-19.31,3.62E-06
-19.3,3.64E-06
-19.29,3.65E-06
-19.28,3.66E-06
-19.27,3.67E-06
-19.26,3.69E-06
-19.25,3.70E-06
-19.24,3.71E-06
-19.23,3.73E-06
-19.22,3.74E-06
-19.21,3.75E-06
-19.2,3.76E-06
-19.19,3.78E-06
-19.18,3.79E-06
-19.17,3.80E-06
-19.16,3.82E-06
-19.15,3.83E-06
-19.14,3.84E-06
-19.13,3.86E-06
-19.12,3.87E-06
-19.11,3.89E-06
-19.1,3.90E-06
-19.09,3.91E-06
-19.08,3.93E-06
-19.07,3.94E-06
-19.06,3.95E-06
-19.05,3.97E-06
-19.04,3.98E-06
-19.03,4.00E-06
-19.02,4.01E-06
-19.01,4.03E-06
-19,4.04E-06
-18.99,4.05E-06
-18.98,4.07E-06
-18.97,4.08E-06
-18.96,4.10E-06
-18.95,4.11E-06
-18.94,4.13E-06
-18.93,4.14E-06
-18.92,4.16E-06
-18.91,4.17E-06
-18.9,4.19E-06
-18.89,4.20E-06
-18.88,4.22E-06
-18.87,4.23E-06
-18.86,4.25E-06
-18.85,4.26E-06
-18.84,4.28E-06
-18.83,4.29E-06
-18.82,4.31E-06
-18.81,4.32E-06
-18.8,4.34E-06
-18.79,4.36E-06
-18.78,4.37E-06
-18.77,4.39E-06
-18.76,4.40E-06
-18.75,4.42E-06
-18.74,4.44E-06
-18.73,4.45E-06
-18.72,4.47E-06
-18.71,4.48E-06
-18.7,4.50E-06
-18.69,4.52E-06
-18.68,4.53E-06
-18.67,4.55E-06
-18.66,4.57E-06
-18.65,4.58E-06
-18.64,4.60E-06
-18.63,4.62E-06
-18.62,4.63E-06
-18.61,4.65E-06
-18.6,4.67E-06
-18.59,4.69E-06
-18.58,4.70E-06
-18.57,4.72E-06
-18.56,4.74E-06
-18.55,4.75E-06
-18.54,4.77E-06
-18.53,4.79E-06
-18.52,4.81E-06
-18.51,4.83E-06
-18.5,4.84E-06
-18.49,4.86E-06
-18.48,4.88E-06
-18.47,4.90E-06
